N09000001,33548,1280,5848,1168,164,149,2474,8005,1573,703,1662
N09000002,417,61285,1141,141,92,360,2082,438,2593,2985,446
N09000003,18790,7622,105781,2005,739,785,22632,9963,2589,7280,19778
N09000004,244,79,156,41517,1451,363,55,972,1323,29,38
N09000005,72,39,132,3544,43748,1278,73,81,1018,32,38
N09000006,21,211,75,448,2133,39322,55,31,1629,49,27
N09000007,1674,4915,7705,232,88,134,29945,793,335,2636,4272
N09000008,3925,547,1331,3384,121,74,454,36981,1098,388,465
N09000009,587,2522,260,1361,670,1814,286,530,43645,200,94
N09000010,324,3858,792,33,35,73,1048,320,175,50410,853
N09000011,760,439,2742,77,29,43,1464,385,75,1032,39639